Time, Arsenic, mRFP1, Total
0.000000, 0, 0, 1999
0.100000, 0, 0, 1999
0.200000, 0, 0, 1999
0.300000, 0, 0, 1999
0.400000, 0, 0, 1999
0.500000, 0, 0, 1999
0.600000, 0, 0, 1999
0.700000, 0, 0, 1999
0.800000, 0, 0, 1999
0.900000, 0, 0, 1999
1.000000, 0, 0, 1999
1.100000, 0, 0, 1999
1.200000, 0, 0, 1999
1.300000, 0, 0, 1999
1.400000, 0, 0, 1999
1.500000, 0, 0, 1999
1.600000, 0, 0, 1999
1.700000, 0, 0, 1999
1.800000, 0, 0, 1999
1.900000, 0, 0, 1999
2.000000, 0, 0, 1999
2.100000, 0, 0, 1999
2.200000, 388, 0, 1999
2.300000, 1527, 0, 1999
2.400000, 1557, 0, 1999
2.500000, 1584, 0, 1999
2.600000, 1622, 0, 1999
2.700000, 1663, 0, 1999
2.799999, 1711, 0, 1999
2.899999, 1747, 0, 1999
2.999999, 1766, 0, 1999
3.099999, 1770, 0, 1999
3.199999, 1804, 0, 1999
3.299999, 1804, 0, 1999
3.399999, 1822, 0, 1999
3.499999, 1822, 0, 1999
3.599999, 1835, 0, 1999
3.699999, 1845, 0, 1999
3.799999, 1846, 0, 1999
3.899998, 1847, 0, 1999
3.999998, 1855, 0, 1999
4.099998, 1849, 0, 1999
4.199998, 1860, 0, 1999
4.299998, 1858, 0, 1999
4.399998, 1866, 0, 1999
4.499998, 1868, 0, 1999
4.599998, 1862, 0, 1999
4.699998, 1866, 0, 1999
4.799998, 1866, 0, 1999
4.899998, 1876, 0, 1999
4.999998, 1880, 0, 1999
5.099998, 1866, 0, 1999
5.199997, 1856, 0, 1999
5.299997, 1857, 0, 1999
5.399997, 1856, 0, 1999
5.499997, 1849, 0, 1999
5.599997, 1846, 0, 1999
5.699997, 1838, 0, 1999
5.799997, 1852, 0, 1999
5.899997, 1844, 0, 1999
5.999997, 1829, 0, 1999
6.099997, 1827, 0, 1999
6.199996, 1831, 0, 1999
6.299996, 1811, 0, 1999
6.399996, 1807, 0, 1999
6.499996, 1802, 0, 1999
6.599996, 1802, 0, 1999
6.699996, 1806, 0, 1999
6.799996, 1800, 0, 1999
6.899996, 1792, 0, 1999
6.999996, 1783, 0, 1999
7.099996, 1784, 0, 1999
7.199996, 1790, 0, 1999
7.299995, 1778, 0, 1999
7.399995, 1770, 0, 1999
7.499995, 1752, 0, 1999
7.599995, 1749, 0, 1999
7.699995, 1748, 0, 1999
7.799995, 1742, 0, 1999
7.899995, 1734, 1, 1999
7.999995, 1729, 1, 1999
8.099995, 1721, 1, 1999
8.199995, 1708, 2, 1999
8.299995, 1707, 2, 1999
