Time, Arsenic, mRFP1, Total
0.000000, 0, 0, 1000
0.100000, 0, 0, 1000
0.200000, 0, 0, 1000
0.300000, 0, 0, 1000
0.400000, 0, 0, 1000
0.500000, 0, 0, 1000
0.600000, 0, 0, 1000
0.700000, 0, 0, 1000
0.800000, 0, 0, 1000
0.900000, 0, 0, 1000
1.000000, 0, 0, 1000
1.100000, 0, 0, 1000
1.200000, 0, 0, 1000
1.300000, 0, 0, 1000
1.400000, 0, 0, 1000
1.500000, 0, 0, 1000
1.600000, 0, 0, 1000
1.700000, 0, 0, 1000
1.800000, 0, 0, 1000
1.900000, 0, 0, 1000
2.000000, 0, 0, 1000
2.100000, 0, 0, 1000
2.200000, 0, 0, 1000
2.300000, 0, 0, 1000
2.400000, 0, 0, 1000
2.500000, 0, 0, 1000
2.600000, 0, 0, 1000
2.700000, 0, 0, 1000
2.799999, 0, 0, 1000
2.899999, 0, 0, 1000
2.999999, 0, 0, 1000
3.099999, 0, 0, 1000
3.199999, 0, 0, 1000
3.299999, 0, 0, 1000
3.399999, 0, 0, 1000
3.499999, 0, 0, 1000
3.599999, 0, 0, 1000
3.699999, 0, 0, 1000
3.799999, 0, 0, 1000
3.899998, 0, 0, 1000
3.999998, 0, 0, 1000
4.099998, 0, 0, 1000
4.199998, 0, 0, 1000
4.299998, 0, 0, 1000
4.399998, 0, 0, 1000
4.499998, 0, 0, 1000
4.599998, 0, 0, 1000
4.699998, 0, 0, 1000
4.799998, 0, 0, 1000
4.899998, 0, 0, 1000
4.999998, 0, 0, 1000
5.099998, 0, 0, 1000
5.199997, 0, 0, 1000
5.299997, 8, 0, 1000
5.399997, 19, 0, 1000
5.499997, 31, 0, 1000
5.599997, 56, 0, 1000
5.699997, 78, 0, 1000
5.799997, 102, 0, 1000
5.899997, 118, 0, 1000
5.999997, 126, 0, 1000
6.099997, 146, 0, 1000
6.199996, 160, 0, 1000
6.299996, 173, 0, 1000
6.399996, 179, 0, 1000
6.499996, 184, 0, 1000
6.599996, 200, 0, 1000
6.699996, 207, 0, 1000
6.799996, 214, 0, 1000
6.899996, 230, 0, 1000
6.999996, 236, 0, 1000
7.099996, 247, 0, 1000
7.199996, 257, 0, 1000
7.299995, 267, 0, 1000
7.399995, 276, 0, 1000
7.499995, 283, 0, 1000
7.599995, 290, 0, 1000
7.699995, 305, 0, 1000
7.799995, 305, 0, 1000
7.899995, 314, 0, 1000
7.999995, 321, 0, 1000
8.099995, 340, 0, 1000
8.199995, 349, 0, 1000
8.299995, 352, 0, 1000
8.399996, 350, 0, 1000
8.499996, 364, 0, 1000
8.599997, 370, 0, 1000
8.699997, 381, 0, 1000
8.799997, 387, 0, 1000
8.899998, 387, 0, 1000
8.999998, 406, 0, 1000
9.099998, 407, 0, 1000
9.199999, 414, 0, 1000
9.299999, 424, 0, 1000
9.400000, 423, 0, 1000
9.500000, 433, 2, 1000
9.600000, 442, 3, 1000
9.700001, 453, 3, 1000
9.800001, 460, 3, 1000
9.900002, 465, 3, 1000
10.000002, 469, 3, 1000
10.100002, 479, 3, 1000
10.200003, 487, 3, 1000
10.300003, 492, 3, 1000
10.400003, 501, 3, 1000
10.500004, 501, 4, 1000
10.600004, 516, 4, 1000
10.700005, 528, 5, 1000
10.800005, 534, 8, 1000
10.900005, 539, 9, 1000
11.000006, 551, 12, 1000
11.100006, 550, 14, 1000
11.200006, 556, 14, 1000
11.300007, 566, 15, 1000
11.400007, 576, 16, 1000
11.500008, 584, 18, 1000
11.600008, 591, 21, 1000
11.700008, 595, 21, 1000
11.800009, 593, 23, 1000
11.900009, 600, 24, 1000
12.000010, 612, 26, 1000
12.100010, 616, 29, 1000
12.200010, 623, 32, 1000
12.300011, 625, 34, 1000
12.400011, 623, 39, 1000
12.500011, 626, 43, 1000
12.600012, 641, 46, 1000
12.700012, 648, 46, 1000
12.800013, 659, 50, 1000
12.900013, 666, 54, 1000
13.000013, 676, 59, 1000
13.100014, 682, 68, 1000
13.200014, 683, 77, 1000
13.300014, 688, 86, 1000
