Time, Lead, amilGFP, Total
0.000000, 0, 0, 1999
0.100000, 0, 0, 1999
0.200000, 0, 0, 1999
0.300000, 0, 0, 1999
0.400000, 0, 0, 1999
0.500000, 0, 0, 1999
0.600000, 0, 0, 1999
0.700000, 0, 0, 1999
0.800000, 0, 0, 1999
0.900000, 0, 0, 1999
1.000000, 0, 0, 1999
1.100000, 0, 0, 1999
1.200000, 0, 0, 1999
1.300000, 0, 0, 1999
1.400000, 0, 0, 1999
1.500000, 0, 0, 1999
1.600000, 0, 0, 1999
1.700000, 0, 0, 1999
1.800000, 0, 0, 1999
1.900000, 0, 0, 1999
2.000000, 0, 0, 1999
2.100000, 0, 0, 1999
2.200000, 341, 0, 1999
2.300000, 1474, 0, 1999
2.400000, 1493, 0, 1999
2.500000, 1515, 0, 1999
2.600000, 1553, 0, 1999
2.700000, 1592, 0, 1999
2.799999, 1640, 0, 1999
2.899999, 1677, 0, 1999
2.999999, 1696, 0, 1999
3.099999, 1703, 0, 1999
3.199999, 1731, 0, 1999
3.299999, 1735, 0, 1999
3.399999, 1756, 0, 1999
3.499999, 1751, 0, 1999
3.599999, 1757, 0, 1999
3.699999, 1771, 0, 1999
3.799999, 1768, 0, 1999
3.899998, 1783, 0, 1999
3.999998, 1795, 0, 1999
4.099998, 1784, 0, 1999
4.199998, 1803, 0, 1999
4.299998, 1792, 0, 1999
4.399998, 1802, 0, 1999
4.499998, 1802, 0, 1999
4.599998, 1784, 0, 1999
4.699998, 1793, 0, 1999
4.799998, 1788, 0, 1999
4.899998, 1793, 0, 1999
4.999998, 1801, 0, 1999
5.099998, 1780, 0, 1999
5.199997, 1766, 0, 1999
5.299997, 1763, 0, 1999
5.399997, 1759, 0, 1999
5.499997, 1753, 0, 1999
5.599997, 1746, 0, 1999
5.699997, 1735, 0, 1999
5.799997, 1741, 0, 1999
5.899997, 1733, 0, 1999
5.999997, 1722, 0, 1999
6.099997, 1713, 0, 1999
6.199996, 1719, 0, 1999
6.299996, 1708, 0, 1999
6.399996, 1710, 0, 1999
6.499996, 1700, 0, 1999
6.599996, 1689, 0, 1999
6.699996, 1693, 0, 1999
6.799996, 1684, 0, 1999
6.899996, 1682, 0, 1999
6.999996, 1669, 0, 1999
7.099996, 1661, 0, 1999
7.199996, 1664, 0, 1999
7.299995, 1648, 0, 1999
7.399995, 1637, 0, 1999
7.499995, 1627, 0, 1999
7.599995, 1620, 0, 1999
7.699995, 1613, 0, 1999
7.799995, 1599, 0, 1999
7.899995, 1586, 1, 1999
7.999995, 1566, 1, 1999
8.099995, 1567, 1, 1999
8.199995, 1558, 2, 1999
8.299995, 1554, 2, 1999
