Time, Lead, amilGFP, Total
0.000000, 0, 0, 1000
0.100000, 0, 0, 1000
0.200000, 0, 0, 1000
0.300000, 0, 0, 1000
0.400000, 0, 0, 1000
0.500000, 0, 0, 1000
0.600000, 0, 0, 1000
0.700000, 0, 0, 1000
0.800000, 0, 0, 1000
0.900000, 0, 0, 1000
1.000000, 0, 0, 1000
1.100000, 0, 0, 1000
1.200000, 0, 0, 1000
1.300000, 0, 0, 1000
1.400000, 0, 0, 1000
1.500000, 0, 0, 1000
1.600000, 0, 0, 1000
1.700000, 0, 0, 1000
1.800000, 0, 0, 1000
1.900000, 0, 0, 1000
2.000000, 0, 0, 1000
2.100000, 0, 0, 1000
2.200000, 0, 0, 1000
2.300000, 0, 0, 1000
2.400000, 0, 0, 1000
2.500000, 0, 0, 1000
2.600000, 0, 0, 1000
2.700000, 0, 0, 1000
2.799999, 0, 0, 1000
2.899999, 0, 0, 1000
2.999999, 0, 0, 1000
3.099999, 0, 0, 1000
3.199999, 0, 0, 1000
3.299999, 0, 0, 1000
3.399999, 0, 0, 1000
3.499999, 0, 0, 1000
3.599999, 0, 0, 1000
3.699999, 0, 0, 1000
3.799999, 0, 0, 1000
3.899998, 0, 0, 1000
3.999998, 0, 0, 1000
4.099998, 0, 0, 1000
4.199998, 0, 0, 1000
4.299998, 0, 0, 1000
4.399998, 0, 0, 1000
4.499998, 0, 0, 1000
4.599998, 0, 0, 1000
4.699998, 0, 0, 1000
4.799998, 0, 0, 1000
4.899998, 0, 0, 1000
4.999998, 0, 0, 1000
5.099998, 0, 0, 1000
5.199997, 1, 0, 1000
5.299997, 6, 0, 1000
5.399997, 17, 0, 1000
5.499997, 34, 0, 1000
5.599997, 54, 0, 1000
5.699997, 80, 0, 1000
5.799997, 99, 0, 1000
5.899997, 120, 0, 1000
5.999997, 127, 0, 1000
6.099997, 144, 0, 1000
6.199996, 153, 0, 1000
6.299996, 166, 0, 1000
6.399996, 176, 0, 1000
6.499996, 185, 0, 1000
6.599996, 200, 0, 1000
6.699996, 206, 0, 1000
6.799996, 214, 0, 1000
6.899996, 231, 0, 1000
6.999996, 237, 0, 1000
7.099996, 242, 0, 1000
7.199996, 253, 0, 1000
7.299995, 264, 0, 1000
7.399995, 272, 0, 1000
7.499995, 276, 0, 1000
7.599995, 287, 0, 1000
7.699995, 306, 0, 1000
7.799995, 307, 0, 1000
7.899995, 313, 0, 1000
7.999995, 316, 0, 1000
8.099995, 331, 0, 1000
8.199995, 339, 0, 1000
8.299995, 349, 0, 1000
8.399996, 346, 0, 1000
8.499996, 366, 0, 1000
8.599997, 373, 0, 1000
8.699997, 380, 0, 1000
8.799997, 381, 0, 1000
8.899998, 390, 0, 1000
8.999998, 403, 0, 1000
9.099998, 410, 0, 1000
9.199999, 414, 0, 1000
9.299999, 421, 0, 1000
9.400000, 424, 0, 1000
9.500000, 437, 0, 1000
9.600000, 445, 1, 1000
9.700001, 457, 1, 1000
9.800001, 460, 2, 1000
9.900002, 467, 3, 1000
10.000002, 474, 3, 1000
10.100002, 480, 3, 1000
10.200003, 489, 3, 1000
10.300003, 494, 3, 1000
10.400003, 502, 3, 1000
10.500004, 500, 3, 1000
10.600004, 510, 3, 1000
10.700005, 516, 4, 1000
10.800005, 525, 5, 1000
10.900005, 528, 6, 1000
11.000006, 549, 9, 1000
11.100006, 547, 9, 1000
11.200006, 547, 10, 1000
11.300007, 557, 11, 1000
11.400007, 564, 15, 1000
11.500008, 569, 17, 1000
11.600008, 578, 19, 1000
11.700008, 585, 20, 1000
11.800009, 583, 22, 1000
11.900009, 591, 23, 1000
12.000010, 604, 25, 1000
12.100010, 615, 25, 1000
12.200010, 619, 27, 1000
12.300011, 627, 32, 1000
12.400011, 628, 36, 1000
12.500011, 631, 40, 1000
12.600012, 637, 43, 1000
12.700012, 637, 46, 1000
12.800013, 643, 51, 1000
12.900013, 649, 53, 1000
13.000013, 661, 57, 1000
13.100014, 668, 58, 1000
13.200014, 673, 67, 1000
13.300014, 679, 75, 1000
