Time, Mercury, amilCP, Total
0.000000, 0, 0, 1999
0.100000, 0, 0, 1999
0.200000, 0, 0, 1999
0.300000, 0, 0, 1999
0.400000, 0, 0, 1999
0.500000, 0, 0, 1999
0.600000, 0, 0, 1999
0.700000, 0, 0, 1999
0.800000, 0, 0, 1999
0.900000, 0, 0, 1999
1.000000, 0, 0, 1999
1.100000, 0, 0, 1999
1.200000, 0, 0, 1999
1.300000, 0, 0, 1999
1.400000, 0, 0, 1999
1.500000, 0, 0, 1999
1.600000, 0, 0, 1999
1.700000, 0, 0, 1999
1.800000, 0, 0, 1999
1.900000, 0, 0, 1999
2.000000, 0, 0, 1999
2.100000, 0, 0, 1999
2.200000, 403, 0, 1999
2.300000, 1517, 0, 1999
2.400000, 1535, 0, 1999
2.500000, 1572, 0, 1999
2.600000, 1609, 0, 1999
2.700000, 1650, 0, 1999
2.799999, 1693, 0, 1999
2.899999, 1728, 0, 1999
2.999999, 1771, 0, 1999
3.099999, 1766, 0, 1999
3.199999, 1780, 0, 1999
3.299999, 1787, 0, 1999
3.399999, 1802, 0, 1999
3.499999, 1815, 0, 1999
3.599999, 1827, 0, 1999
3.699999, 1832, 0, 1999
3.799999, 1830, 0, 1999
3.899998, 1843, 0, 1999
3.999998, 1843, 0, 1999
4.099998, 1848, 0, 1999
4.199998, 1838, 0, 1999
4.299998, 1849, 0, 1999
4.399998, 1856, 0, 1999
4.499998, 1853, 0, 1999
4.599998, 1856, 0, 1999
4.699998, 1848, 0, 1999
4.799998, 1865, 0, 1999
4.899998, 1867, 0, 1999
4.999998, 1856, 0, 1999
5.099998, 1858, 0, 1999
5.199997, 1850, 0, 1999
5.299997, 1844, 0, 1999
5.399997, 1839, 0, 1999
5.499997, 1840, 0, 1999
5.599997, 1842, 0, 1999
5.699997, 1836, 0, 1999
5.799997, 1828, 0, 1999
5.899997, 1817, 0, 1999
5.999997, 1824, 0, 1999
6.099997, 1815, 0, 1999
6.199996, 1814, 0, 1999
6.299996, 1801, 0, 1999
6.399996, 1802, 0, 1999
6.499996, 1800, 0, 1999
6.599996, 1791, 0, 1999
6.699996, 1791, 0, 1999
6.799996, 1768, 0, 1999
6.899996, 1768, 0, 1999
6.999996, 1769, 0, 1999
7.099996, 1770, 0, 1999
7.199996, 1760, 0, 1999
7.299995, 1749, 0, 1999
7.399995, 1748, 0, 1999
7.499995, 1746, 0, 1999
7.599995, 1745, 0, 1999
7.699995, 1718, 0, 1999
7.799995, 1715, 0, 1999
7.899995, 1703, 0, 1999
7.999995, 1700, 0, 1999
8.099995, 1701, 0, 1999
8.199995, 1696, 1, 1999
8.299995, 1689, 1, 1999
