Time, Mercury, amilCP, Total
0.000000, 0, 0, 1000
0.100000, 0, 0, 1000
0.200000, 0, 0, 1000
0.300000, 0, 0, 1000
0.400000, 0, 0, 1000
0.500000, 0, 0, 1000
0.600000, 0, 0, 1000
0.700000, 0, 0, 1000
0.800000, 0, 0, 1000
0.900000, 0, 0, 1000
1.000000, 0, 0, 1000
1.100000, 0, 0, 1000
1.200000, 0, 0, 1000
1.300000, 0, 0, 1000
1.400000, 0, 0, 1000
1.500000, 0, 0, 1000
1.600000, 0, 0, 1000
1.700000, 0, 0, 1000
1.800000, 0, 0, 1000
1.900000, 0, 0, 1000
2.000000, 0, 0, 1000
2.100000, 0, 0, 1000
2.200000, 0, 0, 1000
2.300000, 0, 0, 1000
2.400000, 0, 0, 1000
2.500000, 0, 0, 1000
2.600000, 0, 0, 1000
2.700000, 0, 0, 1000
2.799999, 0, 0, 1000
2.899999, 0, 0, 1000
2.999999, 0, 0, 1000
3.099999, 0, 0, 1000
3.199999, 0, 0, 1000
3.299999, 0, 0, 1000
3.399999, 0, 0, 1000
3.499999, 0, 0, 1000
3.599999, 0, 0, 1000
3.699999, 0, 0, 1000
3.799999, 0, 0, 1000
3.899998, 0, 0, 1000
3.999998, 0, 0, 1000
4.099998, 0, 0, 1000
4.199998, 0, 0, 1000
4.299998, 0, 0, 1000
4.399998, 0, 0, 1000
4.499998, 0, 0, 1000
4.599998, 0, 0, 1000
4.699998, 0, 0, 1000
4.799998, 0, 0, 1000
4.899998, 0, 0, 1000
4.999998, 0, 0, 1000
5.099998, 0, 0, 1000
5.199997, 1, 0, 1000
5.299997, 6, 0, 1000
5.399997, 18, 0, 1000
5.499997, 33, 0, 1000
5.599997, 51, 0, 1000
5.699997, 73, 0, 1000
5.799997, 96, 0, 1000
5.899997, 115, 0, 1000
5.999997, 121, 0, 1000
6.099997, 146, 0, 1000
6.199996, 149, 0, 1000
6.299996, 160, 0, 1000
6.399996, 178, 0, 1000
6.499996, 186, 0, 1000
6.599996, 201, 0, 1000
6.699996, 202, 0, 1000
6.799996, 222, 0, 1000
6.899996, 232, 0, 1000
6.999996, 236, 0, 1000
7.099996, 251, 0, 1000
7.199996, 264, 0, 1000
7.299995, 269, 0, 1000
7.399995, 275, 0, 1000
7.499995, 288, 0, 1000
7.599995, 297, 0, 1000
7.699995, 300, 0, 1000
7.799995, 310, 0, 1000
7.899995, 332, 0, 1000
7.999995, 332, 0, 1000
8.099995, 340, 0, 1000
8.199995, 348, 0, 1000
8.299995, 360, 0, 1000
8.399996, 369, 0, 1000
8.499996, 374, 0, 1000
8.599997, 379, 0, 1000
8.699997, 385, 0, 1000
8.799997, 402, 0, 1000
8.899998, 408, 0, 1000
8.999998, 410, 0, 1000
9.099998, 414, 0, 1000
9.199999, 426, 0, 1000
9.299999, 432, 1, 1000
9.400000, 448, 2, 1000
9.500000, 460, 2, 1000
9.600000, 464, 3, 1000
9.700001, 470, 3, 1000
9.800001, 476, 3, 1000
9.900002, 491, 3, 1000
10.000002, 493, 3, 1000
10.100002, 496, 3, 1000
10.200003, 500, 3, 1000
10.300003, 509, 3, 1000
10.400003, 523, 3, 1000
10.500004, 532, 3, 1000
10.600004, 532, 3, 1000
10.700005, 546, 4, 1000
10.800005, 546, 5, 1000
10.900005, 549, 7, 1000
11.000006, 560, 7, 1000
11.100006, 567, 11, 1000
11.200006, 579, 14, 1000
11.300007, 588, 16, 1000
11.400007, 594, 18, 1000
11.500008, 599, 20, 1000
11.600008, 609, 20, 1000
11.700008, 615, 21, 1000
11.800009, 622, 22, 1000
11.900009, 625, 22, 1000
12.000010, 625, 24, 1000
12.100010, 628, 29, 1000
12.200010, 644, 31, 1000
12.300011, 650, 33, 1000
12.400011, 656, 36, 1000
12.500011, 663, 42, 1000
12.600012, 666, 48, 1000
12.700012, 675, 51, 1000
12.800013, 681, 52, 1000
12.900013, 691, 55, 1000
13.000013, 689, 58, 1000
13.100014, 696, 66, 1000
13.200014, 711, 75, 1000
13.300014, 715, 82, 1000
